node,edge_selector,title_text,intro_text,event_text,pbn
start_game,start,PRESS A BUTTON NOW,Explore the lived experience of working in data.,,to enter the world of data
welcome,auto,Welcome!,Welcome employee #eiLaSi-LV-426-ekaCehT to your first day at TechCo! You are a data scientist. It is your job to press buttons. ,,to proceed to onboarding
onboarding,auto,Onboarding,Welcome employee  #eiLaSi-LV-426-ekaCehT to onboarding at TechCo! You are a data scientist. It is your job to press buttons. ,,to complete onboarding
initiate_project,auto,A question that needs answering,"An executive at TechCo has a question that needs answering. You are told the data can be found in the data warehouse, no problem. Once you are done with the anlaysis, there will be cake.",,to consult stakeholders about their evidence-based needs
source_data,auto,Source the data,"The data warehouse is home to hundreds of databases. Each database is home to dozens of tables, each of which has hundreds of columns. There are billions of rows of data.",,to dive into the warehouse and live in matrix-scroll land of scrutinising seemingly endless columns and rows
transform_data,auto,Shape the data,"Now that you have figured out which data sources you need to extract from, you are ready to transform the data into analytic tables that will form the foundation of your shiny analyses. You are sure looking forward to that cake.",,to architect a data lineage
analyse_data,random,Analyse the data,"Finally, the fun part! Making pretty pictures out of data to answering questions in meaningful ways. Spurred on by the promise of cake, you lose yourself in the finesse of choosing colour palettes and developing visualisations that answer the multi-faceted question that was posed. You work late into the night.",,to build interactive data visualisations
report_analytics,random,Report your findings,"The big day has arrived! The boardroom is filled with middle-managers somewhat awfully assembled around croissants and tepid coffee. No cake yet, but getting ever closer.",,to report your findings
decision_maker,random,Decision maker assessment,You receive a calendar invite from your manager saying they have met with leadership and want to discuss how the analysis was received. There is no mention of cake.,,to meet with your manager about the outcome of the analysis and whether you will get cake
end,end,End game,"The project ends in a whimper, just a meeting with your manager. There was never going to be any cake. You resignedly flicked you professional profile to ""available for work"".",,to reflect on your time at TechCo
summary,end,Your TechCo experience,,,
